31-10-2023	17:43:30	6cc00787-be1c-4c9a-8be8-8cf7d4d2a6eb	MulterError: Field name missing	PATCH	/users/65411d46cebf8b8325d46c7d	undefined
31-10-2023	17:46:56	d30ad3ca-49d7-43ef-bb05-271d70f79ffe	Error: ENOENT: no such file or directory, stat '/Users/mrpindro/pindro-realtor/views/404.html'	GET	/favicon.ico	undefined
31-10-2023	17:47:22	4eee9f26-cc37-4da5-aa61-975ee6a57c64	Error: ENOENT: no such file or directory, stat '/Users/mrpindro/pindro-realtor/views/404.html'	GET	/favicon.ico	undefined
31-10-2023	17:47:28	f84da949-a195-4db1-8ca3-0b558655bba0	Error: ENOENT: no such file or directory, stat '/Users/mrpindro/pindro-realtor/views/404.html'	GET	/favicon.ico	undefined
31-10-2023	22:35:49	72b760df-eedb-4712-b17f-ff49e7458536	MulterError: Unexpected field	POST	/rent	undefined
10-11-2023	14:43:05	054605c7-3623-4244-93cc-eaf02e57cfe6	TypeError: authHeader?.startWith is not a function	GET	/users	undefined
10-11-2023	15:46:47	87373602-786c-49ca-867a-06ee21e8ee4f	TypeError: Cannot read properties of undefined (reading 'jwt')	GET	/auth/refresh	undefined
10-11-2023	15:47:25	083c9581-d186-402a-94e9-42f9b6040fc3	TypeError: Cannot read properties of undefined (reading 'jwt')	GET	/auth/refresh	undefined
12-11-2023	14:54:15	35cb826e-ff3d-4634-a305-bb0a3007bb7f	MulterError: Unexpected field	POST	/buy	http://localhost:3000
12-11-2023	14:59:42	579acf1b-42a8-4b43-b1c1-eae952f28a1e	MulterError: Unexpected field	POST	/buy	http://localhost:3000
16-11-2023	19:15:12	31b9f177-7a2d-49fe-991c-ebb209bfdc37	Error: Not Allowed By CORS	GET	/rent	null
16-11-2023	19:15:12	976ef814-3555-4976-8d19-be905ee75c79	Error: Not Allowed By CORS	GET	/buy	null
